selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,age
450000,145500,1,1,1,1,23.4,1248.0,74.0,8
370000,120000,1,1,1,2,21.14,1498.0,103.52,8
158000,140000,2,1,1,3,17.7,1497.0,78.0,16
225000,127000,1,1,1,1,23.0,1396.0,90.0,12
130000,120000,2,1,1,1,16.1,1298.0,88.2,15
440000,45000,2,1,1,1,20.14,1197.0,81.86,5
96000,175000,3,1,1,1,17.3,1061.0,57.5,15
45000,5000,2,1,1,2,16.1,796.0,37.0,21
350000,90000,1,1,1,1,23.59,1364.0,67.1,11
200000,169000,1,1,1,1,20.0,1399.0,68.1,9
500000,68000,1,1,1,2,19.01,1461.0,108.45,8
92000,100000,2,1,1,2,17.3,993.0,60.0,17
280000,140000,1,1,1,2,19.3,1248.0,73.9,13
180000,90000,2,1,1,2,18.9,1061.0,67.0,13
400000,40000,2,1,1,1,18.15,1198.0,82.0,6
778000,70000,1,1,1,2,24.52,1248.0,88.5,6
500000,53000,1,1,1,2,23.0,1396.0,90.0,10
150000,80000,2,1,1,2,19.7,796.0,46.3,20
680000,100000,1,1,1,1,22.54,1396.0,88.73,6
174000,100000,1,1,1,2,21.0,1461.0,64.1,11
950000,50000,1,1,1,1,25.5,1498.0,98.6,5
525000,40000,1,1,1,1,26.59,1248.0,74.0,7
600000,72000,1,1,1,1,21.5,1248.0,88.8,10
500000,35000,2,1,1,1,20.3,1199.0,83.81,4
575000,45000,2,1,1,1,21.4,1197.0,83.1,6
275000,28000,2,1,1,1,24.7,796.0,47.3,5
300000,70000,1,1,1,1,18.2,1248.0,73.8,9
220000,120000,2,1,1,1,18.9,1061.0,67.0,13
254999,25000,2,1,1,1,16.8,796.0,34.2,4
670000,70000,1,1,1,1,24.3,1248.0,88.5,5
150000,35000,2,1,1,2,14.0,796.0,35.0,10
730000,2388,2,1,1,1,18.6,1197.0,81.83,4
650000,16200,1,1,1,1,24.3,1248.0,88.5,5
330000,10000,4,1,1,2,33.44,796.0,40.3,3
366000,15000,2,1,1,1,23.95,998.0,67.1,3
1149000,5000,2,1,1,1,17.0,1591.0,121.3,3
150000,42000,2,1,1,1,20.63,1198.0,67.0,6
425000,60000,1,1,1,2,13.93,2179.0,138.03,11
150000,76000,2,1,1,1,16.1,796.0,37.0,10
2100000,5000,2,1,2,1,16.0,1368.0,160.77,3
925000,28900,2,2,1,1,17.8,1497.0,117.3,4
425000,86300,2,2,1,1,16.8,1497.0,116.3,9
675000,23300,2,2,2,1,18.5,1197.0,83.14,4
819999,32600,1,2,1,1,24.3,1248.0,88.5,4
390000,10300,2,2,1,1,23.95,998.0,67.05,4
1500000,77000,1,2,1,1,12.55,2982.0,168.5,8
700000,99000,1,2,1,1,12.99,2494.0,100.0,9
1450000,27800,1,2,2,2,14.8,2143.0,120.7,8
425000,49800,1,2,1,1,24.7,1498.0,98.63,7
1090000,151000,1,2,1,1,13.5,2477.0,175.56,9
600000,54700,1,2,1,1,26.0,1498.0,98.6,7
850000,64000,2,2,1,1,20.65,1462.0,103.25,4
525000,63000,1,2,1,1,27.3,1498.0,98.6,7
1650000,127700,1,2,2,2,11.36,2755.0,171.5,6
950000,99000,1,2,1,1,12.99,2494.0,100.6,6
1750000,33900,1,2,2,2,17.68,1968.0,174.33,9
1590000,25000,2,2,2,1,14.28,1798.0,138.03,4
1689999,50000,1,2,2,1,18.53,1968.0,187.74,9
1425000,59000,1,2,2,1,14.84,2143.0,170.0,9
265000,120000,1,1,1,1,21.12,1248.0,88.8,11
190000,110000,2,1,1,3,20.36,1197.0,78.9,11
425000,60000,1,1,1,1,21.27,1396.0,88.76,9
630000,147000,1,1,1,2,26.59,1248.0,74.0,7
600000,25000,2,1,1,3,18.16,1196.0,86.8,5
650000,30000,2,1,1,1,21.4,1197.0,83.1,3
540000,40000,1,1,1,1,22.0,1498.0,108.495,6
630000,135000,1,1,1,1,25.1,1498.0,98.6,7
448000,30000,2,1,2,1,20.51,998.0,67.0,4
500000,80000,1,1,1,1,21.66,1498.0,108.62,5
745000,70000,1,1,1,1,24.3,1248.0,88.5,6
1025000,9850,1,1,2,1,24.3,1248.0,88.5,3
235000,60000,2,1,1,2,20.36,1197.0,78.9,11
630000,70000,1,1,1,1,25.2,1248.0,74.0,6
1700000,78000,1,1,1,2,12.55,2982.0,168.5,7
450000,120000,1,1,1,2,22.9,1248.0,74.0,9
450000,120000,2,1,1,2,16.02,1373.0,93.7,10
450000,170000,1,1,1,1,20.54,1598.0,103.6,9
1200000,140000,1,1,1,1,12.99,2494.0,100.6,6
610000,90000,1,1,1,1,22.77,1498.0,98.59,7
2500000,30000,2,1,2,2,15.71,1998.0,189.0,6
484999,10000,2,2,1,1,23.1,998.0,67.04,5
275000,49000,2,2,1,1,19.02,1198.0,67.05,6
315000,32000,2,2,1,1,24.7,796.0,47.3,6
275000,38000,2,2,1,1,24.7,796.0,47.3,6
290000,28000,2,2,1,1,19.81,1086.0,68.05,10
280000,32000,2,2,1,1,14.0,796.0,35.0,5
225000,44000,3,2,1,1,26.2,998.0,58.2,12
455000,42000,2,2,1,1,16.47,1198.0,74.0,7
351000,45000,2,2,1,2,19.81,1086.0,68.05,7
535000,12000,2,2,1,2,15.04,1598.0,103.6,10
175000,55500,2,2,1,1,18.2,998.0,67.1,13
525000,61500,2,2,1,1,18.5,1197.0,82.85,9
600000,150000,1,1,1,1,26.59,1248.0,74.0,6
565000,72000,2,2,2,1,19.1,1197.0,82.0,6
120000,68000,2,2,1,3,19.7,796.0,46.3,14
725000,110000,1,1,1,1,22.54,1396.0,88.73,5
185000,77000,2,2,1,2,21.79,998.0,67.05,13
200000,100000,1,1,1,2,18.8,1248.0,90.0,12
615000,10000,2,1,1,1,21.21,1197.0,81.8,3
270000,100000,2,1,1,3,15.37,1196.0,73.0,6
610000,35000,2,1,1,1,21.4,1197.0,83.1,4
625000,70000,1,1,2,2,11.79,2179.0,120.0,8
400000,5000,2,1,1,2,19.0,1194.0,94.68,2
866000,37800,2,1,1,1,17.0,1591.0,121.3,5
700000,114000,2,1,1,1,14.3,1798.0,160.0,12
300000,48000,2,1,1,1,15.8,1172.0,65.0,12
1700000,32000,1,1,1,1,15.1,2179.0,155.0,3
375000,100000,1,1,1,1,19.09,1405.0,69.01,6
522000,150000,1,1,1,2,22.32,1582.0,126.32,9
451999,69000,1,1,1,1,21.9,1396.0,88.76,9
300000,100000,2,1,1,2,14.53,1798.0,138.1,13
475000,13000,2,1,1,1,21.63,998.0,67.04,2
780000,60000,1,1,1,1,24.3,1248.0,88.5,6
595000,40000,2,1,1,1,20.85,1197.0,83.14,5
440000,35000,2,1,1,1,20.51,998.0,67.04,5
400000,70000,1,1,1,3,20.45,1461.0,83.8,8
1140000,50000,1,1,1,1,19.67,1582.0,126.2,6
850000,76139,1,1,1,1,23.0,1498.0,98.96,5
370000,175000,1,1,1,4,19.3,1248.0,73.9,10
350000,25000,2,1,1,1,23.01,999.0,67.0,4
360000,40000,2,1,1,2,23.1,998.0,67.04,7
105000,65000,2,1,1,4,19.7,796.0,46.3,14
625000,90000,1,1,1,2,20.77,1248.0,88.76,9
135000,80000,2,1,1,2,17.92,1086.0,62.1,13
700000,110000,1,1,1,2,20.77,1248.0,88.76,7
690000,1303,2,2,1,1,17.8,1198.0,86.7,3
3975000,31800,1,2,2,1,17.01,1968.0,188.0,4
5150000,20000,2,2,2,1,22.37,2487.0,214.56,3
3200000,45000,1,2,2,1,19.33,1999.0,177.0,5
4100000,17000,2,1,2,1,9.5,3604.0,280.0,5
4500000,21000,1,2,2,1,12.83,1999.0,148.31,3
6000000,37000,1,2,2,1,13.5,2987.0,254.79,5
3790000,29500,1,2,2,1,22.48,1995.0,187.74,4
5800000,7500,1,2,2,1,16.78,1995.0,190.0,3
1864999,50000,2,2,2,1,14.67,1798.0,177.46,4
2700000,35000,1,2,2,1,15.0,2143.0,204.0,6
1750000,19000,2,2,2,1,13.96,1451.0,141.0,3
795000,41000,2,2,2,1,18.0,1497.0,117.6,5
625000,39000,2,2,2,1,14.28,1798.0,138.03,9
3400000,22000,1,2,2,1,18.0,1969.0,190.0,4
2650000,53000,1,2,2,1,12.07,2967.0,241.4,7
535000,40000,1,2,1,1,26.21,1248.0,88.5,7
5850000,47000,1,2,2,1,13.5,2987.0,282.0,5
975000,72200,2,2,2,2,10.8,2497.0,150.0,12
805000,49900,2,2,1,1,16.3,1797.0,147.5,6
2625000,9000,1,2,2,1,13.6,1999.0,177.0,5
811000,11000,2,2,1,1,17.0,1198.0,108.5,4
375000,49000,2,1,1,1,15.04,1598.0,103.6,11
550000,95000,2,1,1,1,16.3,1797.0,147.5,10
645000,11000,2,2,2,1,14.3,1598.0,103.5,6
2550000,18000,2,2,2,1,15.04,1991.0,183.0,4
599000,46100,2,2,1,1,16.02,1373.0,93.7,8
2700000,16000,2,2,2,1,14.74,1991.0,181.04,5
875000,18000,2,2,2,1,15.6,1497.0,116.3,5
894999,9654,2,2,2,1,19.56,1197.0,81.8,3
175000,11000,2,2,1,1,23.95,998.0,67.05,11
340000,24300,2,2,1,1,21.21,1197.0,81.8,10
1525000,42163,1,2,2,2,11.36,2755.0,171.5,6
1025000,8000,1,2,2,1,21.5,1497.0,108.5,4
2150000,30000,1,2,2,1,22.69,1995.0,190.0,6
1900000,41000,2,2,2,1,19.16,2494.0,157.7,6
2900000,12000,1,2,2,1,18.12,1995.0,190.0,6
450000,71000,2,2,2,1,12.1,2362.0,164.7,13
850000,20000,2,1,1,1,17.5,1373.0,91.1,6
10000000,30000,2,1,2,1,42.0,1969.0,400.0,5
300000,100000,1,1,1,2,20.54,1598.0,103.6,11
575000,9500,2,1,1,1,18.16,1196.0,86.8,4
160000,120000,1,1,1,1,20.0,1399.0,68.0,11
515000,36600,2,1,1,1,20.4,1197.0,81.8,7
390000,50000,2,1,2,2,20.51,998.0,67.0,7
550000,14000,2,1,1,2,18.6,1197.0,81.83,6
40000,40000,2,1,1,2,16.1,796.0,37.0,23
220000,120000,1,1,1,1,21.1,1248.0,73.9,12
425000,70000,2,1,1,1,18.9,1197.0,82.0,7
480000,13000,2,1,1,1,19.44,999.0,75.0,3
400000,60000,2,1,1,2,18.9,1197.0,82.0,8
487000,35000,2,1,1,1,19.1,1197.0,85.8,8
386000,44000,2,1,1,2,19.1,1197.0,82.0,6
100000,120000,2,1,1,2,13.0,1493.0,100.0,17
300000,60000,1,1,1,1,21.43,1364.0,87.2,12
100000,60000,2,1,1,1,18.5,796.0,53.0,22
1750000,30000,1,1,1,2,13.0,2982.0,168.5,8
450000,15000,2,1,1,2,18.15,1198.0,82.0,6
490000,90000,1,1,1,1,22.95,1248.0,74.0,5
345000,47000,2,1,1,2,17.0,1497.0,118.0,13
85000,90000,2,1,1,1,17.3,993.0,60.0,17
215000,120600,2,1,1,2,18.9,998.0,67.1,12
320000,100000,2,1,1,3,16.2,1599.0,103.2,12
459999,60000,2,1,1,2,20.85,1197.0,83.14,6
65000,86000,2,1,1,1,15.3,1341.0,83.0,17
720000,5000,2,1,1,1,18.6,1197.0,81.86,2
800000,37000,1,1,1,1,28.09,1248.0,88.5,5
520000,14000,2,1,1,1,20.3,1199.0,84.0,3
580000,70000,1,1,1,1,20.77,1248.0,88.76,7
600000,50000,2,1,1,1,17.4,1497.0,117.3,7
290000,60000,2,1,1,2,19.4,1198.0,86.8,8
360000,50000,4,1,1,1,26.6,998.0,58.16,6
550000,50000,2,1,1,1,20.85,1197.0,83.14,5
375000,70000,2,1,1,1,18.5,1197.0,82.85,9
420000,35000,2,1,2,1,20.51,998.0,67.0,4
550000,20000,2,1,1,1,21.21,1197.0,81.8,5
270000,20000,2,1,1,1,24.7,796.0,47.3,4
700000,7800,2,1,2,1,22.0,1197.0,81.8,4
500000,20000,2,1,1,1,20.4,1197.0,81.8,5
1250000,15000,1,1,1,1,17.6,2179.0,147.94,3
320000,31377,2,1,1,2,18.5,1197.0,82.85,9
700000,50000,1,1,1,1,28.4,1248.0,74.02,4
290000,60000,2,1,1,1,20.51,998.0,67.04,7
550000,100000,2,1,2,1,14.53,1794.0,138.1,10
265000,60000,2,1,1,1,19.4,1198.0,86.8,10
830000,5000,2,1,2,1,21.4,1197.0,83.1,4
800000,60000,1,1,1,1,14.1,2179.0,147.94,5
160000,25000,2,1,1,2,19.7,796.0,46.3,11
335000,30000,2,1,1,1,25.17,799.0,53.3,4
329000,80000,2,1,1,2,20.63,1198.0,67.0,5
775000,75000,1,1,1,1,24.3,1248.0,88.5,5
524000,32000,2,1,1,1,20.14,1197.0,81.86,2
245000,40000,2,1,1,1,22.74,796.0,47.3,7
275000,93000,2,1,1,2,17.0,1197.0,80.0,10
520000,60000,2,1,1,1,17.57,1193.0,88.7,4
550000,37000,2,1,1,1,16.95,1498.0,97.7,8
910000,15000,2,1,1,1,17.0,1497.0,121.36,4
300000,80000,2,1,1,1,19.49,1198.0,67.04,7
350000,140000,2,1,1,1,20.51,998.0,67.04,6
900000,70000,1,1,1,1,12.83,2696.0,162.0,9
300000,120000,1,1,1,2,17.21,1493.0,100.0,9
250000,110000,1,1,1,2,21.1,1248.0,73.9,12
1100000,37000,1,1,1,1,19.67,1582.0,126.2,5
270000,44000,2,1,1,1,25.17,799.0,53.3,6
640000,80000,1,1,1,1,20.77,1248.0,88.76,7
650000,125000,1,1,1,1,15.1,2179.0,140.0,7
409999,13500,2,1,1,1,15.37,1196.0,73.0,5
165000,75000,2,1,1,1,17.92,1086.0,62.1,11
