isim,cinsiyet,yas,boy,kilo,spor
Slvia Domnguez Fernndez,K,29.00,167.00,64.00,Basketbol
Usman Edu Muhammed,E,22.00,169.00,78.00,Futbol
Okechukwu Godson Azubuike,E,19.00,170.00,68.00,Futbol
Tamara Radoaj,K,28.00,170.00,60.00,Basketbol
Popoola Sodiq Saliu,E,21.00,170.00,51.00,Futbol
Abdullahi Shehu,E,23.00,170.00,72.00,Futbol
Seth Muenfuh Sincere,E,18.00,170.00,77.00,Futbol
Courtney Lynn Thompson,K,31.00,170.00,66.00,Voleybol
Jos Carlos Cracco Neto,E,22.00,170.00,69.00,Futbol
Stanley Amuzie,E,20.00,171.00,85.00,Futbol
Saturday Keigo Erimuya,E,18.00,171.00,73.09,Futbol
Imoh Ezekiel,E,22.00,171.00,,Futbol
Lin Li,K,24.00,171.00,70.00,Voleybol
Kingsley Madu,E,20.00,171.00,79.00,Futbol
Oluwafemi "Junior" Ajayi,E,20.00,172.00,79.00,Futbol
Oghenekaro Peter Etebo,E,20.00,172.00,71.00,Futbol
Rafael Alcntara do Nascimento,E,23.00,172.00,65.00,Futbol
Aminu Umar,E,21.00,172.00,72.00,Futbol
Sadiq Umar,E,19.00,172.00,75.00,Futbol
Milica Dabovi,K,34.00,173.00,63.00,Basketbol
Douglas dos Santos Justino de Melo,E,22.00,173.00,69.00,Futbol
Serge David Gnabry,E,21.00,173.00,,Futbol
Maximilian Meyer,E,20.00,173.00,60.00,Futbol
Ndifreke Effiong Udo,E,17.00,173.00,78.00,Futbol
Emmanuel Shinkut Daniel,E,22.00,174.00,88.00,Futbol
Neymar da Silva Santos Jnior,E,24.00,174.00,64.00,Futbol
Suzanne Brigit "Sue" Bird,K,35.00,175.00,66.00,Basketbol
Dajana Butulija,K,30.00,175.00,65.00,Basketbol
Gabriel Fernando de Jesus,E,19.00,175.00,68.00,Futbol
William Troost-Ekong,E,22.00,175.00,74.00,Futbol
Lindsay Marie Whalen,K,34.00,175.00,72.00,Basketbol
Anna Cruz Lebrato,K,29.00,176.00,60.00,Basketbol
William de Asevedo Furtado,E,21.00,176.00,65.00,Futbol
Philipp Max,E,22.00,177.00,76.00,Futbol
Leticia Romero Gonzlez,K,21.00,177.00,62.00,Basketbol
Kayla Banwarth,K,27.00,178.00,70.00,Voleybol
Saa ao,K,27.00,178.00,72.00,Basketbol
Felipe Anderson Perieira Gomes,E,23.00,178.00,66.00,Futbol
Gabriel Barbosa Almeida,E,19.00,178.00,68.00,Futbol
